CustomerNumber,Gender,Age,ZipCode,TotalFlights,first_name,last_name
0,0,37,67570,9,KAMI,SMITH
1,1,39,60474,0,JAMES,JOHNSON
2,1,43,94066,0,JOHN,WILLIAMS
3,0,41,94572,7,LINDA,JONES
4,1,47,2646,7,MICHAEL,BROWN
5,1,40,77072,6,WILLIAM,DAVIS
6,1,39,56669,14,DAVID,MILLER
7,1,39,18098,5,RICHARD,WILSON
8,1,45,70403,9,CHARLES,MOORE
9,1,46,38376,4,JOSEPH,TAYLOR
10,1,35,33646,5,THOMAS,ANDERSON
11,0,46,22850,0,LISA,THOMAS
12,0,48,56501,4,NANCY,JACKSON
13,1,35,48277,5,PAUL,WHITE
14,0,40,68865,6,BETTY,HARRIS
15,0,50,17349,13,HELEN,MARTIN
16,0,48,24048,14,SANDRA,THOMPSON
17,0,44,77447,15,DONNA,GARCIA
18,0,46,24202,2,CAROL,MARTINEZ
19,1,54,56393,5,EDWARD,ROBINSON
20,0,46,72513,12,SHARON,CLARK
21,1,38,62515,4,RONALD,RODRIGUEZ
22,1,50,43420,14,ANTHONY,LEWIS
23,0,39,47654,0,SARAH,LEE
24,0,48,50482,15,KIMBERLY,WALKER
25,1,47,16220,0,MATTHEW,HALL
26,1,48,23509,4,GARY,ALLEN
27,1,51,60513,2,TIMOTHY,YOUNG
28,1,36,90051,10,JOSE,HERNANDEZ
29,0,43,58356,3,ANGELA,KING
30,1,53,17579,18,JEFFREY,WRIGHT
31,0,48,98527,8,BRENDA,LOPEZ
32,1,44,68440,3,SCOTT,HILL
33,0,39,74840,11,ANNA,SCOTT
34,1,44,24432,8,STEPHEN,GREEN
35,1,39,68865,3,ANDREW,ADAMS
36,0,36,99151,13,KATHLEEN,BAKER
37,1,46,43270,10,GREGORY,GONZALEZ
38,1,44,33107,12,JOSHUA,NELSON
39,0,40,95542,0,DEBRA,CARTER
40,0,45,38046,2,AMANDA,MITCHELL
41,1,41,62326,1,WALTER,PEREZ
42,0,52,96028,10,CAROLYN,ROBERTS
43,1,43,20850,11,PETER,TURNER
44,1,51,69216,11,HAROLD,PHILLIPS
45,1,40,90813,2,DOUGLAS,CAMPBELL
46,1,46,85392,0,HENRY,PARKER
47,1,52,77206,2,CARL,EVANS
48,0,45,15357,14,ANN,EDWARDS
49,1,49,48175,17,RYAN,COLLINS
50,0,35,32968,7,DIANE,STEWART
51,1,47,10281,1,JOE,SANCHEZ
52,1,44,67485,2,JUAN,MORRIS
53,1,47,61830,7,JACK,ROGERS
