,origin,destination,departure_date,flight_route_number,customer,CustomerNumber,Gender,Age,ZipCode,TotalFlights,first_name,last_name
0,PHX,STL,5/30/2016,281,0,0,0,37.17486255,67570,9,KAMI,SMITH
1,DAL,ABQ,5/19/2016,42,0,0,0,37.17486255,67570,9,KAMI,SMITH
2,OAK,SAN,5/9/2016,18,0,0,0,37.17486255,67570,9,KAMI,SMITH
3,SAN,BNA,5/28/2016,585,0,0,0,37.17486255,67570,9,KAMI,SMITH
4,SJC,SAN,5/11/2016,527,0,0,0,37.17486255,67570,9,KAMI,SMITH
5,MDW,FLL,5/26/2016,416,0,0,0,37.17486255,67570,9,KAMI,SMITH
6,DTW,STL,5/1/2016,368,0,0,0,37.17486255,67570,9,KAMI,SMITH
7,PHX,OAK,5/13/2016,185,0,0,0,37.17486255,67570,9,KAMI,SMITH
8,BWI,CHS,5/13/2016,347,0,0,0,37.17486255,67570,9,KAMI,SMITH
9,HOU,MSY,5/12/2016,251,3,3,0,41.24005838,94572,7,LINDA,JONES
10,FNT,MDW,5/26/2016,243,3,3,0,41.24005838,94572,7,LINDA,JONES
11,SEA,OAK,5/24/2016,179,3,3,0,41.24005838,94572,7,LINDA,JONES
12,SAN,TUS,5/21/2016,50,3,3,0,41.24005838,94572,7,LINDA,JONES
13,OAK,DEN,5/6/2016,255,3,3,0,41.24005838,94572,7,LINDA,JONES
14,LAX,STL,5/22/2016,160,3,3,0,41.24005838,94572,7,LINDA,JONES
15,MCI,LAS,5/8/2016,206,3,3,0,41.24005838,94572,7,LINDA,JONES
16,LAX,HOU,5/2/2016,527,4,4,1,47.60231618,2646,7,MICHAEL,BROWN
17,STL,OMA,5/24/2016,326,4,4,1,47.60231618,2646,7,MICHAEL,BROWN
18,DEN,TUL,5/5/2016,459,4,4,1,47.60231618,2646,7,MICHAEL,BROWN
19,OAK,ONT,5/28/2016,488,4,4,1,47.60231618,2646,7,MICHAEL,BROWN
20,LAS,BHM,5/8/2016,264,4,4,1,47.60231618,2646,7,MICHAEL,BROWN
21,DEN,MSP,5/26/2016,276,4,4,1,47.60231618,2646,7,MICHAEL,BROWN
22,OAK,SAN,5/16/2016,386,4,4,1,47.60231618,2646,7,MICHAEL,BROWN
23,HOU,BOS,5/5/2016,305,5,5,1,40.33087026,77072,6,WILLIAM,DAVIS
24,DAL,MSY,5/3/2016,1,5,5,1,40.33087026,77072,6,WILLIAM,DAVIS
25,DAL,OKC,5/13/2016,5,5,5,1,40.33087026,77072,6,WILLIAM,DAVIS
26,LAX,MKE,5/31/2016,162,5,5,1,40.33087026,77072,6,WILLIAM,DAVIS
27,MSP,PHX,5/25/2016,430,5,5,1,40.33087026,77072,6,WILLIAM,DAVIS
28,JAX,HOU,5/7/2016,425,5,5,1,40.33087026,77072,6,WILLIAM,DAVIS
29,HOU,DAL,5/25/2016,6,6,6,1,39.35779006,56669,14,DAVID,MILLER
30,BHM,MCO,5/28/2016,430,6,6,1,39.35779006,56669,14,DAVID,MILLER
31,OAK,MDW,5/19/2016,491,6,6,1,39.35779006,56669,14,DAVID,MILLER
32,ATL,IND,5/1/2016,628,6,6,1,39.35779006,56669,14,DAVID,MILLER
33,MDW,CMH,5/24/2016,218,6,6,1,39.35779006,56669,14,DAVID,MILLER
34,MDW,DCA,5/3/2016,431,6,6,1,39.35779006,56669,14,DAVID,MILLER
35,STL,PHX,5/2/2016,78,6,6,1,39.35779006,56669,14,DAVID,MILLER
36,BWI,BOS,5/4/2016,561,6,6,1,39.35779006,56669,14,DAVID,MILLER
37,ALB,FLL,5/4/2016,314,6,6,1,39.35779006,56669,14,DAVID,MILLER
38,MHT,BWI,5/11/2016,424,6,6,1,39.35779006,56669,14,DAVID,MILLER
39,OAK,BUR,5/1/2016,388,6,6,1,39.35779006,56669,14,DAVID,MILLER
40,ATL,GSP,5/8/2016,37,6,6,1,39.35779006,56669,14,DAVID,MILLER
41,RDU,MCO,5/2/2016,408,6,6,1,39.35779006,56669,14,DAVID,MILLER
42,MDW,BNA,5/1/2016,248,6,6,1,39.35779006,56669,14,DAVID,MILLER
43,PHX,SMF,5/27/2016,338,7,7,1,39.1493782,18098,5,RICHARD,WILSON
44,FNT,MDW,5/10/2016,133,7,7,1,39.1493782,18098,5,RICHARD,WILSON
45,FLL,LAS,5/21/2016,616,7,7,1,39.1493782,18098,5,RICHARD,WILSON
46,MCI,BWI,5/17/2016,419,7,7,1,39.1493782,18098,5,RICHARD,WILSON
47,MCI,BWI,5/27/2016,206,7,7,1,39.1493782,18098,5,RICHARD,WILSON
48,MCI,MDW,5/18/2016,113,8,8,1,45.95195479,70403,9,CHARLES,MOORE
49,STL,TPA,5/17/2016,24,8,8,1,45.95195479,70403,9,CHARLES,MOORE
50,MSY,ATL,5/8/2016,436,8,8,1,45.95195479,70403,9,CHARLES,MOORE
51,SEA,OAK,5/31/2016,197,8,8,1,45.95195479,70403,9,CHARLES,MOORE
52,DEN,LAS,5/16/2016,432,8,8,1,45.95195479,70403,9,CHARLES,MOORE
53,PHX,AUS,5/19/2016,281,8,8,1,45.95195479,70403,9,CHARLES,MOORE
54,ONT,SMF,5/22/2016,446,8,8,1,45.95195479,70403,9,CHARLES,MOORE
